url,domain,category,aci_wcag_strict,aci_readability_first,aci_visual_first,color_contrast_ratio_wcag_strict,color_contrast_ratio_readability_first,color_contrast_ratio_visual_first,focus_visible_ratio_wcag_strict,focus_visible_ratio_readability_first,focus_visible_ratio_visual_first,target_size_clean_wcag_strict,target_size_clean_readability_first,target_size_clean_visual_first,keyboard_clean_wcag_strict,keyboard_clean_readability_first,keyboard_clean_visual_first,aria_roles_valid_wcag_strict,aria_roles_valid_readability_first,aria_roles_valid_visual_first,accessible_names_coverage_wcag_strict,accessible_names_coverage_readability_first,accessible_names_coverage_visual_first,audit_critical_violations_wcag_strict,audit_critical_violations_readability_first,audit_critical_violations_visual_first,audit_high_violations_wcag_strict,audit_high_violations_readability_first,audit_high_violations_visual_first,audit_medium_violations_wcag_strict,audit_medium_violations_readability_first,audit_medium_violations_visual_first,audit_low_violations_wcag_strict,audit_low_violations_readability_first,audit_low_violations_visual_first,page_flesch_wcag_strict,page_flesch_readability_first,page_flesch_visual_first,text_complexity_wcag_strict,text_complexity_readability_first,text_complexity_visual_first,heading_hierarchy_wcag_strict,heading_hierarchy_readability_first,heading_hierarchy_visual_first,alt_text_coverage_wcag_strict,alt_text_coverage_readability_first,alt_text_coverage_visual_first,landmark_coverage_wcag_strict,landmark_coverage_readability_first,landmark_coverage_visual_first,performance_lcp_wcag_strict,performance_lcp_readability_first,performance_lcp_visual_first
https://www.educacionfpydeportes.gob.es/portada.html,www.educacionfpydeportes.gob.es,Institucional,3.738,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.973,,,1.0,,,0.95,,,0.94,,,1.0,,,0.5,,,0.5,,,1.0,,,0.714,,,0.75,,,0.5,,
https://www.fcbarcelona.cat/ca/,www.fcbarcelona.cat,Comercial,3.349,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.98,,,0.55,,,0.75,,,0.96,,,0.97,,,0.5,,,0.5,,,1.0,,,0.325,,,1.0,,,0.5,,
https://www.lavanguardia.com/,www.lavanguardia.com,Mitjans,3.788,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.923,,,0.85,,,0.95,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.75,,,0.5,,
https://www.liceubarcelona.cat/ca,www.liceubarcelona.cat,Cultural,3.435,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.187,,,0.85,,,0.9,,,0.98,,,1.0,,,0.5,,,0.5,,,1.0,,,0.87,,,1.0,,,0.5,,
https://www.meteo.cat/,www.meteo.cat,Institucional,3.518,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,0.85,,,0.95,,,1.0,,,0.98,,,0.5,,,0.5,,,1.0,,,0.193,,,1.0,,,0.5,,
https://www.museunacional.cat/ca,www.museunacional.cat,Cultural,3.531,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.856,,,0.85,,,1.0,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,0.636,,,0.5,,,0.5,,
https://www.palaumusica.cat/ca/,www.palaumusica.cat,Cultural,3.885,,,0.5,,,0.5,,,0.5,,,0.5,,,0.997,,,0.879,,,1.0,,,1.0,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,0.915,,,1.0,,,0.5,,
https://www.promofarma.com/,www.promofarma.com,Comercial,3.044,,,0.067,,,0.5,,,0.5,,,0.5,,,1.0,,,0.886,,,0.55,,,0.9,,,0.96,,,0.99,,,0.5,,,0.5,,,0.8,,,0.489,,,0.5,,,0.5,,
https://www.rac1.cat/,www.rac1.cat,Mitjans,3.659,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,0.9,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://www.rcdespanyol.com/,www.rcdespanyol.com,Comercial,3.575,,,0.333,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,0.85,,,0.9,,,0.92,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.25,,,0.5,,
https://www.rtve.es/,www.rtve.es,Mitjans,3.415,,,0.143,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,0.95,,,0.98,,,0.99,,,0.5,,,0.5,,,1.0,,,0.333,,,0.75,,,0.5,,
https://www.sanidad.gob.es/,www.sanidad.gob.es,Institucional,3.826,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.99,,,1.0,,,0.95,,,0.98,,,0.99,,,0.5,,,0.5,,,1.0,,,0.875,,,0.75,,,0.5,,
https://www.seg-social.es/wps/portal/wss/internet/Inicio,www.seg-social.es,Institucional,3.494,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.845,,,0.7,,,0.85,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,0.521,,,1.0,,,0.5,,
https://www.tnc.cat/ca,www.tnc.cat,Cultural,3.844,,,0.5,,,0.5,,,0.5,,,0.5,,,0.994,,,0.992,,,1.0,,,0.95,,,0.94,,,1.0,,,0.5,,,0.5,,,1.0,,,0.78,,,1.0,,,0.5,,
https://www.uab.cat/,www.uab.cat,Educatiu,3.558,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.75,,,1.0,,,0.95,,,0.94,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://www.ucm.es/,www.ucm.es,Educatiu,3.678,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,0.95,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://www.unav.edu/,www.unav.edu,Educatiu,3.184,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.928,,,0.7,,,0.85,,,0.92,,,0.99,,,0.5,,,0.5,,,0.6,,,0.193,,,0.75,,,0.5,,
https://www.uoc.edu/ca,www.uoc.edu,Educatiu,3.342,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,1.0,,,0.98,,,1.0,,,0.5,,,0.5,,,0.6,,,0.167,,,0.5,,,0.5,,
https://www.upc.edu/ca,www.upc.edu,Educatiu,3.517,,,0.333,,,0.5,,,0.5,,,0.5,,,1.0,,,0.948,,,0.85,,,0.9,,,0.98,,,0.98,,,0.5,,,0.5,,,1.0,,,0.458,,,1.0,,,0.5,,
https://www.upf.edu/,www.upf.edu,Educatiu,3.48,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.667,,,0.85,,,1.0,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://www.url.edu/ca,www.url.edu,Educatiu,3.544,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.835,,,0.85,,,0.95,,,0.96,,,1.0,,,0.5,,,0.5,,,0.6,,,0.667,,,1.0,,,0.5,,
https://www.uv.es/,www.uv.es,Educatiu,3.678,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,0.95,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
