url,domain,category,aci_wcag_strict,aci_readability_first,aci_visual_first,color_contrast_ratio_wcag_strict,color_contrast_ratio_readability_first,color_contrast_ratio_visual_first,focus_visible_ratio_wcag_strict,focus_visible_ratio_readability_first,focus_visible_ratio_visual_first,target_size_clean_wcag_strict,target_size_clean_readability_first,target_size_clean_visual_first,keyboard_clean_wcag_strict,keyboard_clean_readability_first,keyboard_clean_visual_first,aria_roles_valid_wcag_strict,aria_roles_valid_readability_first,aria_roles_valid_visual_first,accessible_names_coverage_wcag_strict,accessible_names_coverage_readability_first,accessible_names_coverage_visual_first,audit_critical_violations_wcag_strict,audit_critical_violations_readability_first,audit_critical_violations_visual_first,audit_high_violations_wcag_strict,audit_high_violations_readability_first,audit_high_violations_visual_first,audit_medium_violations_wcag_strict,audit_medium_violations_readability_first,audit_medium_violations_visual_first,audit_low_violations_wcag_strict,audit_low_violations_readability_first,audit_low_violations_visual_first,page_flesch_wcag_strict,page_flesch_readability_first,page_flesch_visual_first,text_complexity_wcag_strict,text_complexity_readability_first,text_complexity_visual_first,heading_hierarchy_wcag_strict,heading_hierarchy_readability_first,heading_hierarchy_visual_first,alt_text_coverage_wcag_strict,alt_text_coverage_readability_first,alt_text_coverage_visual_first,landmark_coverage_wcag_strict,landmark_coverage_readability_first,landmark_coverage_visual_first,performance_lcp_wcag_strict,performance_lcp_readability_first,performance_lcp_visual_first
https://catsalut.gencat.cat/ca/inici/,catsalut.gencat.cat,Institucional,3.521,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.963,,,1.0,,,0.8,,,0.98,,,0.99,,,0.5,,,0.5,,,1.0,,,0.212,,,1.0,,,0.5,,
https://educacio.gencat.cat/ca/inici,educacio.gencat.cat,Institucional,3.539,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.976,,,1.0,,,0.85,,,1.0,,,0.99,,,0.5,,,0.5,,,1.0,,,0.19,,,1.0,,,0.5,,
https://es.wallapop.com/,es.wallapop.com,Comercial,3.591,,,0.143,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,0.95,,,1.0,,,0.99,,,0.5,,,0.5,,,1.0,,,0.556,,,1.0,,,0.5,,
https://sagradafamilia.org/,sagradafamilia.org,Cultural,3.413,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.809,,,1.0,,,0.85,,,0.94,,,0.98,,,0.5,,,0.5,,,0.0,,,0.86,,,0.75,,,0.5,,
https://sede.agenciatributaria.gob.es/,sede.agenciatributaria.gob.es,Institucional,3.704,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://serveiocupacio.gencat.cat/ca/inici,serveiocupacio.gencat.cat,Institucional,3.546,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.947,,,1.0,,,0.8,,,0.98,,,0.98,,,0.5,,,0.5,,,1.0,,,0.284,,,1.0,,,0.5,,
https://terrassadigital.cat/,terrassadigital.cat,Mitjans,3.604,,,0.5,,,0.5,,,0.5,,,0.5,,,0.978,,,0.978,,,1.0,,,0.9,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,0.321,,,1.0,,,0.5,,
https://web.gencat.cat/ca/ciutadania/inici,web.gencat.cat,Institucional,3.605,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.991,,,1.0,,,0.95,,,0.98,,,0.99,,,0.5,,,0.5,,,1.0,,,0.395,,,0.75,,,0.5,,
https://web.ub.edu/,web.ub.edu,Educatiu,3.83,,,0.5,,,0.5,,,0.5,,,0.5,,,0.998,,,0.96,,,1.0,,,0.95,,,0.98,,,0.99,,,0.5,,,0.5,,,1.0,,,0.915,,,0.75,,,0.5,,
https://www.3cat.cat/3cat/,www.3cat.cat,Mitjans,3.547,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.75,,,1.0,,,0.9,,,0.98,,,1.0,,,0.5,,,0.5,,,1.0,,,1.0,,,0.0,,,0.5,,
https://www.ara.cat/,www.ara.cat,Mitjans,3.5,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.864,,,1.0,,,0.9,,,0.94,,,1.0,,,0.5,,,0.5,,,0.8,,,0.32,,,1.0,,,0.5,,
https://www.capraboacasa.com/ca/,www.capraboacasa.com,Comercial,3.682,,,0.333,,,0.5,,,0.5,,,0.5,,,1.0,,,0.995,,,0.85,,,0.85,,,0.96,,,1.0,,,0.5,,,0.5,,,1.0,,,0.961,,,0.75,,,0.5,,
https://www.compraonline.bonpreuesclat.cat/,www.compraonline.bonpreuesclat.cat,Comercial,3.606,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.992,,,1.0,,,0.95,,,1.0,,,1.0,,,0.5,,,0.5,,,1.0,,,0.236,,,1.0,,,0.5,,
https://www.diba.cat/ca/inici,www.diba.cat,Institucional,3.676,,,0.5,,,0.5,,,0.5,,,0.5,,,1.0,,,0.908,,,1.0,,,0.9,,,0.92,,,1.0,,,0.5,,,0.5,,,1.0,,,0.694,,,0.75,,,0.5,,
