2026-05-24 14:02:10,763 INFO     aci_pipeline.cli: ACI=3.704/5.0 [wcag_strict] → results/gh-pages/reports/sede_agenciatributaria_gob_es_Institucional/sede_agenciatributaria_gob_es_Institucional_1779631299_wcag_strict.html
2026-05-24 14:02:10,763 INFO     aci_pipeline.cli: ── Pipeline: https://www.educacionfpydeportes.gob.es/portada.html [perfil=wcag_strict] ──
2026-05-24 14:02:19,180 INFO     aci_pipeline.m1: M1 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional (mode=playwright)
2026-05-24 14:02:19,244 INFO     aci_pipeline.m2: M2 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional → results/gh-pages/processed/structure/www_educacionfpydeportes_gob_es_portada_html_Institucional_1779631330.json
2026-05-24 14:02:19,245 INFO     aci_pipeline.m3: M3 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional
2026-05-24 14:02:19,246 WARNING  aci_pipeline.m4: textstat no disponible; mètriques textuals omeses.
2026-05-24 14:02:19,247 INFO     aci_pipeline.m4: M4 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional
2026-05-24 14:02:19,247 INFO     aci_pipeline.m5: M5: processats 0 elements visuals
2026-05-24 14:02:19,247 INFO     aci_pipeline.m6: M6 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional (profil=wcag_strict, ACI=3.74)
2026-05-24 14:02:19,248 INFO     aci_pipeline.m7: M7 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional: 15 intervencions prioritzades
2026-05-24 14:02:19,273 INFO     aci_pipeline.m8: Informe HTML desat a: results/gh-pages/reports/www_educacionfpydeportes_gob_es_portada_html_Institucional/www_educacionfpydeportes_gob_es_portada_html_Institucional_1779631330_wcag_strict.html
2026-05-24 14:02:19,273 INFO     aci_pipeline.m8: M8 completat per https://www.educacionfpydeportes.gob.es/portada.html; Institucional -> results/gh-pages/reports/www_educacionfpydeportes_gob_es_portada_html_Institucional/www_educacionfpydeportes_gob_es_portada_html_Institucional_1779631330_wcag_strict.html
2026-05-24 14:02:19,273 INFO     aci_pipeline.cli: ACI=3.738/5.0 [wcag_strict] → results/gh-pages/reports/www_educacionfpydeportes_gob_es_portada_html_Institucional/www_educacionfpydeportes_gob_es_portada_html_Institucional_1779631330_wcag_strict.html
2026-05-24 14:02:19,273 INFO     aci_pipeline.cli: ── Pipeline: https://www.sanidad.gob.es/ [perfil=wcag_strict] ──
2026-05-24 14:02:26,785 INFO     aci_pipeline.m1: M1 completat per https://www.sanidad.gob.es/; Institucional (mode=playwright)
2026-05-24 14:02:26,824 INFO     aci_pipeline.m2: M2 completat per https://www.sanidad.gob.es/; Institucional → results/gh-pages/processed/structure/www_sanidad_gob_es_Institucional_1779631339.json
2026-05-24 14:02:26,825 INFO     aci_pipeline.m3: M3 completat per https://www.sanidad.gob.es/; Institucional
2026-05-24 14:02:26,826 WARNING  aci_pipeline.m4: textstat no disponible; mètriques textuals omeses.
2026-05-24 14:02:26,827 INFO     aci_pipeline.m4: M4 completat per https://www.sanidad.gob.es/; Institucional
2026-05-24 14:02:26,827 INFO     aci_pipeline.m5: M5: processats 0 elements visuals
